search URL:,https://patents.google.com/?q=%28%22educational+data+mining%22+OR+%22learning+analytics%22%29+AND+%28%22artificial+intelligence%22+OR+AI+OR+ML+OR+DL+OR+NLP%29&oq=%28%22educational+data+mining%22+OR+%22learning+analytics%22%29+AND+%28%22artificial+intelligence%22+OR+AI+OR+ML+OR+DL+OR+NLP%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
KR-20230039612-A,"Can bodymakers and how they operate to mitigate the effects of tool wear, damage and/or misalignment ","크라운 팩키징 테크놀러지, 인코포레이티드","할스테드 마이클, 앤드류 베일리 다미엥, 에거튼 다니엘",2020-05-15,2021-05-06,2023-03-21,,https://patents.google.com/patent/KR20230039612A/en,https://patentimages.storage.googleapis.com/e3/c1/15/baffb8d5a4c4af/pct00001.png
US-2023360503-A1,Color and symbol coded display on a digital badge for communicating permission to approach and activate further digital content interaction ,Blue Storm Media Inc,Gareth Llewelyn,2017-01-18,2023-05-06,2023-11-09,,https://patents.google.com/patent/US20230360503A1/en,https://patentimages.storage.googleapis.com/6f/36/f1/6939c7650463ba/US20230360503A1-20231109-D00000.png
WO-2018099549-A1,Raw material and/or recycling system ,Innogy Innovation Gmbh,"Carsten STÖCKER, Philipp LIMBOURG, Markus ROTHKEPPEL",2016-11-30,2016-11-30,2018-06-07,,https://patents.google.com/patent/WO2018099549A1/en,
US-11355931-B2,Method of operating an electrical grid ,Conjoule GmbH,"Franziska Heintel, Sam Warburton, Jürgen Waffner",2017-03-29,2019-09-27,2022-06-07,2022-06-07,https://patents.google.com/patent/US11355931B2/en,https://patentimages.storage.googleapis.com/d6/3f/3f/e5775656884ce6/US11355931-20220607-D00000.png
EP-4123528-A1,Machine learning powered anomaly detection for maintenance work orders ,Fiix Inc.,"Mohammad Esmalifalak, Akshay Iyengar, Seyedmorteza Mirhoseininejad, Peter Doulas, Francis Emery, Taylor Mathewson, William Hogan, Min Hua Yu",2021-07-23,2022-07-21,2023-01-25,,https://patents.google.com/patent/EP4123528A1/en,https://patentimages.storage.googleapis.com/78/16/57/d5a1fe7d8b13b1/imgf0001.png
US-10884454-B2,Line-of-sight device housing a first device and configured for display of content from a second device ,Blue Storm Media Inc,Gareth Llewelyn,2017-01-18,2018-03-09,2021-01-05,2021-01-05,https://patents.google.com/patent/US10884454B2/en,https://patentimages.storage.googleapis.com/1c/4e/d5/6190b881f73ecb/US10884454-20210105-D00000.png
BR-PI0613103-A2,Grammar analysis of visual document structures ,Microsoft Corp,"Paul A Viola, Michael Shilman",2005-07-01,2006-06-30,2012-01-03,,https://patents.google.com/patent/BRPI0613103A2/en,
JP-2023521912-A,Methods and systems for modeling predictive outcomes of joint arthroplasty procedures ,イグザクテック・インコーポレイテッド,"ロシュ，クリストファー, クマール，ビカス, オーバーマン，スティーブン, テドレデサイ，アンクール, ルートマン，ハワード, シモビッチ，ライアン, フルラン，ピエール－アンリ, ライト，トーマス, ザッカーマン，ジョセフ",2020-04-17,2021-04-16,2023-05-25,,https://patents.google.com/patent/JP2023521912A/en,https://patentimages.storage.googleapis.com/e1/33/8e/97527e735169c9/2023521912000002.png
WO-2015079460-A1,System for computing contribution and providing appropriate incentives ,Gupta Lucky,Lucky GUPTA,2013-11-28,2014-11-28,2015-06-04,,https://patents.google.com/patent/WO2015079460A1/en,
US-10783546-B2,Color and symbol coded display on a digital badge for communicating permission to approach and activate further digital content interaction ,"Blue Storm Media, Inc.",Gareth John Llewelyn,2017-05-17,2017-07-10,2020-09-22,2020-09-22,https://patents.google.com/patent/US10783546B2/en,https://patentimages.storage.googleapis.com/b3/ca/a1/f013d06f215c7b/US10783546-20200922-D00000.png
CN-110297817-A,A method of the structure of knowledge is constructed based on personalized Bayes's knowledge tracing model ,哈尔滨工业大学,"李全龙, 程朋祥",2019-06-25,2019-06-25,2019-10-01,,https://patents.google.com/patent/CN110297817A/en,
KR-102009034-B1,Informative Method using Learning Analysis and System ,주식회사 아이스크림에듀,"조용상, 권미진, 구민지",2019-01-31,2019-01-31,2019-08-08,2019-08-08,https://patents.google.com/patent/KR102009034B1/en,https://patentimages.storage.googleapis.com/af/c2/0c/a638596ba162e8/112019011793151-pat00001.png
US-10298640-B1,Overlaying personalized content on streaming audio ,"Amazon Technologies, Inc.","Alexander Luke, Tyler Hobbs",2018-01-29,2018-01-29,2019-05-21,2019-05-21,https://patents.google.com/patent/US10298640B1/en,https://patentimages.storage.googleapis.com/e9/a7/da/6af6dc473294b3/US10298640-20190521-D00000.png
US-2020005677-A1,Surgical Simulator Systems and Methods ,Help Me See Inc.,"Dennis Gulasy, Glenn Strauss",2014-12-29,2019-09-09,2020-01-02,,https://patents.google.com/patent/US20200005677A1/en,https://patentimages.storage.googleapis.com/e0/94/74/21c2632d3a89ed/US20200005677A1-20200102-D00000.png
EP-3238198-A1,An educational apparatus ,Cork Institute Of Technology,"Juan Francisco MARTINEZ SANCHEZ, Kevin O'mahony, Stephen Collins, Jian Liang, Gary Smith",2014-12-22,2015-12-21,2017-11-01,,https://patents.google.com/patent/EP3238198A1/en,
US-10120798-B1,Dynamic FPGA re-configuration using a virtual FPGA controller ,Intel Corporation,"Ned M. Smith, Rajesh Poornachandran, Abdul M. Bailey",2017-06-12,2017-06-12,2018-11-06,2018-11-06,https://patents.google.com/patent/US10120798B1/en,https://patentimages.storage.googleapis.com/a7/3c/b4/052ce7799cb536/US10120798-20181106-D00000.png
EP-3979785-A4,System and method for the integrated use of predictive and machine learning analytics for a center pivot irrigation system ,"Valmont Industries, Inc.","Tracy A. Thatcher, Mark Moeller, John Kastl",2019-06-07,2020-06-08,2023-12-06,,https://patents.google.com/patent/EP3979785A4/en,
US-11908345-B2,Engagement level determination and dissemination ,Intel Corporation,"Nese Alyuz Civitci, Cagri Cagatay Tanriover, Sinem Aslan, Eda Okur Kavil, Asli Arslan Esme, Ergin Genc",2018-12-27,2018-12-27,2024-02-20,2024-02-20,https://patents.google.com/patent/US11908345B2/en,https://patentimages.storage.googleapis.com/b9/78/86/db4f642e2bd1f6/US11908345-20240220-D00000.png
US-11424028-B2,Method and apparatus for pervasive patient monitoring ,"University Of Florida Research Foundation, Incorporated","Parisa Rashidi, Azra Bihorac, Patrick J. Tighe",2018-04-19,2019-04-18,2022-08-23,2022-08-23,https://patents.google.com/patent/US11424028B2/en,https://patentimages.storage.googleapis.com/a3/43/78/69c9b46df8a2d3/US11424028-20220823-D00000.png
US-2019355010-A1,Method and system for lead budget allocation and optimization on a multi-channel multi-media campaign management and payment platform ,"Dex Media, Inc.","Stephanie Peterson, Or Yogev",2018-05-18,2018-08-31,2019-11-21,,https://patents.google.com/patent/US20190355010A1/en,https://patentimages.storage.googleapis.com/79/eb/04/acc574beceb522/US20190355010A1-20191121-D00000.png
US-2019311592-A1,Reduction of theft in a venue based on a dynamically updated high-shrink item library ,Zebra Technologies Corporation,Thomas E. Wulff,2018-04-09,2018-04-09,2019-10-10,,https://patents.google.com/patent/US20190311592A1/en,https://patentimages.storage.googleapis.com/d4/99/43/e2cdf4955a2511/US20190311592A1-20191010-D00000.png
EP-3035619-A1,A method and system for scaling and a telecommunications network ,Alcatel Lucent,"Eric Jul, Hamed Mahmoudi, Markus Bauer",2014-12-15,2014-12-15,2016-06-22,,https://patents.google.com/patent/EP3035619A1/en,https://patentimages.storage.googleapis.com/44/21/ef/d98e6277a8ed52/imgf0001.png
US-11671881-B2,Procedures for interaction between the radio controller and the subordinated base station ,"Cisco Technology, Inc.","Vladimir Yanover, Alon Ben Ami",2019-02-07,2021-02-11,2023-06-06,2023-06-06,https://patents.google.com/patent/US11671881B2/en,https://patentimages.storage.googleapis.com/9d/94/d7/e1fb8ecd97bb9e/US11671881-20230606-D00000.png
US-2021233371-A1,Automatic video privacy ,"Pelco, Inc.","Wilfred Brake, Davebo Sherwin RODRIGUES, Jonathan Farmer",2018-06-19,2019-05-17,2021-07-29,,https://patents.google.com/patent/US20210233371A1/en,https://patentimages.storage.googleapis.com/c3/e3/06/6a9b6b6f711755/US20210233371A1-20210729-D00000.png
US-11900799-B2,Method and system for reducing road congestion ,Wipro Limited,"Sumit Shovon Mitra, Debasish Chanda",2019-12-31,2020-02-20,2024-02-13,2024-02-13,https://patents.google.com/patent/US11900799B2/en,https://patentimages.storage.googleapis.com/fe/db/7e/9c7ef573c9f2fe/US11900799-20240213-D00000.png
EP-3862562-A1,System and method for optimizing wake management in wind farms ,General Electric Company,"Xu Fu, Bernard P. Landa, Christopher Darby Immer, Samuel Bryan Shartzer",2020-02-06,2021-02-05,2021-08-11,,https://patents.google.com/patent/EP3862562A1/en,https://patentimages.storage.googleapis.com/27/58/fe/809ce5120ceab5/imgf0001.png
US-11521240-B2,Tracking a digital diet for targeted advertisement delivery ,"GetTogether, Inc.",Michael Phillips Moskowitz,2017-09-12,2020-08-11,2022-12-06,2022-12-06,https://patents.google.com/patent/US11521240B2/en,https://patentimages.storage.googleapis.com/3f/20/69/6ec7a3edf2ed44/US11521240-20221206-D00000.png
US-2013339342-A1,Method and system for displaying comments associated with a query ,Yahoo! Inc.,"Vidit Jain, Sourangshu Bhattacharya",2012-06-14,2012-06-14,2013-12-19,,https://patents.google.com/patent/US20130339342A1/en,https://patentimages.storage.googleapis.com/d3/40/e4/49c0a114d79bec/US20130339342A1-20131219-D00000.png
US-2020279629-A1,System and method for gathering and analyzing human experience reports ,"Medicine Differentiation Analytics, Llc.","Eileen Morrissey, Jim Anderson",2019-03-01,2020-02-28,2020-09-03,,https://patents.google.com/patent/US20200279629A1/en,https://patentimages.storage.googleapis.com/14/80/c4/919003fa9109b1/US20200279629A1-20200903-D00000.png
US-2022019947-A1,Enhancing Data-Analytic Visualizations With Machine Learning ,Micro Focus Llc,Tamir MITELMAN,2020-07-14,2020-07-14,2022-01-20,,https://patents.google.com/patent/US20220019947A1/en,https://patentimages.storage.googleapis.com/57/f4/5e/85350c786cbd70/US20220019947A1-20220120-D00000.png
WO-2021024076-A1,Automated operational data management dictated by quality-of-service criteria ,"International Business Machines Corporation, Ibm United Kingdom Limited, Ibm (China) Investment Company Limited","Jessica Snyder, Thomas Hanis, Paul Seifert",2019-08-05,2020-07-23,2021-02-11,,https://patents.google.com/patent/WO2021024076A1/en,
WO-2021024077-A1,Machine learning to predict quality-of-service needs in an operational data management system ,"International Business Machines Corporation, Ibm United Kingdom Limited, Ibm (China) Investment Company Limited","Jessica Snyder, Thomas Hanis, Paul Seifert",2019-08-05,2020-07-23,2021-02-11,,https://patents.google.com/patent/WO2021024077A1/en,
US-10642232-B2,Adaptive control systems for buildings with redundant circuitry ,"Edison Labs, Inc.",Colin Billings,2016-11-02,2018-09-03,2020-05-05,2020-05-05,https://patents.google.com/patent/US10642232B2/en,https://patentimages.storage.googleapis.com/c2/92/33/6c76318897f4f4/US10642232-20200505-D00000.png
US-10642231-B1,Switch terminal system with an activity assistant ,"Edison Labs, Inc.",Colin Billings,2016-11-02,2018-06-08,2020-05-05,2020-05-05,https://patents.google.com/patent/US10642231B1/en,https://patentimages.storage.googleapis.com/54/6a/33/e281da70fdc487/US10642231-20200505-D00000.png
AU-2020225082-A1,Systems and methods for learning-based network ,Learning Chain Pty Ltd,"Nader Nasry Rofael Armaneous, Amir Nasry Rofael Armanious",2019-02-18,2020-02-18,2022-10-20,,https://patents.google.com/patent/AU2020225082A1/en,
AU-2019349565-A1,"Methods to incorporate machine learning analytics for optimizing protein purity, potency and quality in an on-demand production system for point-of-care delivery ","University Of Maryland, Baltimore County","Rajani Adiga, Yordan Kostov, Benjamin PUNSHON-SMITH, Govind Rao",2018-05-15,2019-05-15,2020-12-17,,https://patents.google.com/patent/AU2019349565A1/en,
US-2021073393-A1,Encryption for machine learning model inputs ,"Kazuhm, Inc.","Joshua Owen JACOBSON, Rounak Prasad KULKARNI",2019-09-09,2019-09-09,2021-03-11,,https://patents.google.com/patent/US20210073393A1/en,https://patentimages.storage.googleapis.com/79/ca/37/231ec9ec16fd14/US20210073393A1-20210311-D00000.png
US-2023230011-A1,Skill-gap analysis and recommender system ,Pes University,"Gowri Srinivasa, Chiranth Jawahar, Diya Chandra, Namrata Ramesh",2022-01-14,2022-03-14,2023-07-20,,https://patents.google.com/patent/US20230230011A1/en,https://patentimages.storage.googleapis.com/8d/2a/7f/6238f92bc02c6a/US20230230011A1-20230720-D00000.png
EP-3497522-A1,Building automation system ,Innogy Innovation GmbH,"Jens REINELT, Carsten STÖCKER, Jürgen WAFFNER",2016-08-09,2016-08-09,2019-06-19,,https://patents.google.com/patent/EP3497522A1/en,
WO-2019040129-A1,Digital component transmission ,Google Llc,"Justin LEWIS, Thomas Graham Price",2017-08-24,2018-04-19,2019-02-28,,https://patents.google.com/patent/WO2019040129A1/en,
US-11748634-B1,Systems and methods for integration of machine learning components within a pipelined search query to generate a graphic visualization ,Splunk Inc.,"Chinmay Madhav Kulkarni, Lin Ma, Amir Malekpour, Mohan Rajagopalan, John C. Reed, Ram Sriharsha",2020-10-19,2020-10-19,2023-09-05,2023-09-05,https://patents.google.com/patent/US11748634B1/en,https://patentimages.storage.googleapis.com/9d/4f/a1/45417131972a3d/US11748634-20230905-D00000.png
US-2022071547-A1,Systems and methods for measuring neurotoxicity in a subject ,"Beacon Biosignals, Inc.","Jarrett Revels, Matthew S. Alkaitis",2020-09-08,2021-09-08,2022-03-10,,https://patents.google.com/patent/US20220071547A1/en,https://patentimages.storage.googleapis.com/73/30/eb/c374b99c71683f/US20220071547A1-20220310-D00000.png
US-11210606-B1,Optimization of investigator and site location identification ,Iqvia Inc.,"Kristy Morgan, Mark Boone Brown, Natalia Balko, April Lewis, Lucas Glass, Elizabeth Bodine, Lena Dyrved, Esther Van Hulten, Masha Kazantseva",2017-10-16,2017-10-16,2021-12-28,2021-12-28,https://patents.google.com/patent/US11210606B1/en,https://patentimages.storage.googleapis.com/ba/34/6e/6f343ce24b06b0/US11210606-20211228-D00000.png
US-2019138511-A1,Systems and methods for real-time data processing analytics engine with artificial intelligence for content characterization ,"Adnomus, Inc.",Christos Margiolas,2017-05-15,2018-05-15,2019-05-09,,https://patents.google.com/patent/US20190138511A1/en,https://patentimages.storage.googleapis.com/8d/8e/bb/a9fd19847c19eb/US20190138511A1-20190509-D00000.png
WO-2016122659-A1,Performance monitoring at edge of communication networks ,"Hitachi, Ltd.","Anshuman SAHU, Chetan Gupta, Song Wang, Umeshwar Dayal",2015-01-30,2015-01-30,2016-08-04,,https://patents.google.com/patent/WO2016122659A1/en,
US-11567735-B1,Systems and methods for integration of multiple programming languages within a pipelined search query ,Splunk Inc.,"Chinmay Madhav Kulkarni, Lin Ma, Amir Malekpour, Mohan Rajagopalan, John C. Reed, Ram Sriharsha",2020-10-19,2020-10-19,2023-01-31,2023-01-31,https://patents.google.com/patent/US11567735B1/en,https://patentimages.storage.googleapis.com/2f/97/8e/ca3d3ac745f2e5/US11567735-20230131-D00000.png
US-2022271914-A1,"System and Method for Providing a Secure, Collaborative, and Distributed Computing Environment as well as a Repository for Secure Data Storage and Sharing ",Govermment of the United of America as represented by the Secretary of the Navy,"Mamadou H. Diallo, Michael A. August, Verinder Rana, Christopher T. Graves, Scott M. Slayback, Kevin T. Groarke",2021-02-24,2021-02-24,2022-08-25,,https://patents.google.com/patent/US20220271914A1/en,https://patentimages.storage.googleapis.com/b0/2b/ef/c69c164689276d/US20220271914A1-20220825-D00000.png
WO-2020040721-A1,Programmable logic controller-based modular acceleration module for artificial intelligence ,Siemens Aktiengesellschaft,Heiko Claussen,2018-08-20,2018-08-20,2020-02-27,,https://patents.google.com/patent/WO2020040721A1/en,
WO-2022040811-A1,Method and apparatus for concussion recovery ,Neurovine Inc.,"Locillo PINO, Ashleigh KENNEDY, Matthew Kennedy, Mark Campbell, Marwan ELKHOLY, Matthew Bailey, Chris Edwards, James Henderson",2020-08-28,2021-08-27,2022-03-03,,https://patents.google.com/patent/WO2022040811A1/en,
KR-20220156795-A,Video streaming analysis system and method ,"플레이 랩스, 인크.","숀 건, 크리스틴 크르지자노프스키",2019-07-17,2020-07-17,2022-11-28,,https://patents.google.com/patent/KR20220156795A/en,https://patentimages.storage.googleapis.com/05/85/0c/e824ccf29231bc/pct00001.png
CN-113742396-A,Mining method and device for object learning behavior pattern ,华中师范大学,"张立山, 李亭亭, 刘丽丽, 冯硕, 赵爱茹, 戴志诚",2021-08-26,2021-08-26,2021-12-03,,https://patents.google.com/patent/CN113742396A/en,https://patentimages.storage.googleapis.com/f4/32/d6/48eb713783b43d/HDA0003231793520000011.png
US-2023296923-A1,Portable multimodal learning analytics smart glasses ,Zhejiang University,"Fan OuYang, Pengcheng JIAO",2020-11-10,2023-02-08,2023-09-21,,https://patents.google.com/patent/US20230296923A1/en,https://patentimages.storage.googleapis.com/4f/99/44/9e500f89c22377/US20230296923A1-20230921-D00000.png
WO-2022026277-A1,Image sensor for processing sensor data to reduce data traffic to host system ,"Micron Technology, Inc.","Poorna Kale, Amit Gattani",2020-07-29,2021-07-21,2022-02-03,,https://patents.google.com/patent/WO2022026277A1/en,
US-11784832-B2,Automatically managing user message conveyance utilizing multiple messaging channels ,"Indeed, Inc.","Michael Lee, Shannon Ohara Boon, Philippe P. Dage, Bassam Mehanni, Scott Warriner, Arun Kumar Gnanamani",2020-05-26,2021-05-26,2023-10-10,2023-10-10,https://patents.google.com/patent/US11784832B2/en,https://patentimages.storage.googleapis.com/0b/d6/40/b959b9cbc6eccd/US11784832-20231010-D00000.png
EP-3871205-A1,Artificial intelligence based motion detection ,Carrier Corporation,Tomasz LISEWSKI,2018-10-25,2019-10-22,2021-09-01,,https://patents.google.com/patent/EP3871205A1/en,
JP-7227953-B2,A tissue texture measurement method that uses NMR spectroscopy to identify chemical species of constituent texture elements within a target region of tissue ,バイオプロトニクス インコーポレイテッド,"パーカー イアン, アール．チェイス デイヴィッド, ダブリュー．ジェームズ ティモシー, ジェームズ クリスティン",2017-07-06,2018-07-06,2023-02-22,2023-02-22,https://patents.google.com/patent/JP7227953B2/en,https://patentimages.storage.googleapis.com/56/90/9e/6bb223a3e92ff8/0007227953000001.png
US-2023195601-A1,Synthetic data generation for enhanced microservice debugging in microservices architectures ,Intel Corporation,"Rajesh Poornachandran, Marcos Carranza",2021-12-21,2021-12-21,2023-06-22,,https://patents.google.com/patent/US20230195601A1/en,https://patentimages.storage.googleapis.com/93/28/4b/80feccb5e30feb/US20230195601A1-20230622-D00000.png
US-11258850-B2,Distributed register intelligent node transfer engine ,Bank Of America Corporation,Prasad Balkrishna Bag,2020-06-26,2020-06-26,2022-02-22,2022-02-22,https://patents.google.com/patent/US11258850B2/en,https://patentimages.storage.googleapis.com/a8/fc/35/1f8756dc2cf02e/US11258850-20220222-D00000.png
US-2020334084-A1,Distributed in-platform data storage utilizing graphics processing unit (gpu) memory ,"Kazuhm, Inc.",Joshua Owen JACOBSON,2019-04-16,2019-04-16,2020-10-22,,https://patents.google.com/patent/US20200334084A1/en,https://patentimages.storage.googleapis.com/dc/ea/0d/b474a4bf61bce4/US20200334084A1-20201022-D00000.png
US-2022408122-A1,Live events platform ,"Applause Creators, Inc.","Nitin Khanna, Matthew JAFFE",2021-06-18,2022-06-17,2022-12-22,,https://patents.google.com/patent/US20220408122A1/en,https://patentimages.storage.googleapis.com/d2/cf/b5/477e4afb2598b5/US20220408122A1-20221222-D00000.png
US-11436349-B2,Method and system for implementing a cloud machine learning environment ,"Jpmorgan Chase Bank, N.A.","Brian J. Smyth, Mehul JANI, Kunjithapatham MUTHUVELAYUTHAM",2018-11-09,2019-11-08,2022-09-06,2022-09-06,https://patents.google.com/patent/US11436349B2/en,https://patentimages.storage.googleapis.com/f6/f3/33/d5fecc666881c6/US11436349-20220906-D00000.png
US-11430158-B2,Intelligent real-time multiple-user augmented reality content management and data analytics system ,Eliza Y Du,Eliza Y Du,2015-12-01,2021-02-12,2022-08-30,2022-08-30,https://patents.google.com/patent/US11430158B2/en,https://patentimages.storage.googleapis.com/c2/6b/0a/e9e8dfc53fd590/US11430158-20220830-D00000.png
US-2023026782-A1,Digital twin architecture for multi-access edge computing environment ,EMC IP Holding Company LLC,"Danqing Sha, Zhen Jia, Kenneth Durazzo, Min Zhao, Anzhou Hou, Bin He",2021-07-20,2021-07-20,2023-01-26,,https://patents.google.com/patent/US20230026782A1/en,https://patentimages.storage.googleapis.com/32/92/dd/595baf641e9427/US20230026782A1-20230126-D00000.png
US-2018357586-A1,Systems and methods for holistically and dynamically providing quintessential conseiller functionality ,"Patrick J. Goergen, Wendy A. Howell, Mark W. Hansen, Derek M. Tishler","Patrick J. Goergen, Wendy A. Howell, Mark W. Hansen, Derek M. Tishler",2017-05-10,2018-05-07,2018-12-13,,https://patents.google.com/patent/US20180357586A1/en,https://patentimages.storage.googleapis.com/04/79/55/1fbf23a27e25e4/US20180357586A1-20181213-D00000.png
CA-2924446-A1,System and method for analyzing and transmitting social communication data ,"Sysomos L.P., Stuart Ogawa",Stuart Ogawa,2014-09-16,2014-09-16,2015-03-26,,https://patents.google.com/patent/CA2924446A1/en,
EP-3542300-A1,Method for operating a peer-to-peer application ,Innogy Innovation GmbH,Carsten STÖCKER,2016-11-15,2016-11-15,2019-09-25,,https://patents.google.com/patent/EP3542300A1/en,
CN-108228779-B,Score prediction method based on learning community conversation flow ,华中师范大学,"叶俊民, 罗达雄, 郭霄宇, 陈曙, 王志锋, 金聪, 徐松, 赵丽娴, 李蓉, 杨艳",2017-12-28,2017-12-28,2021-03-23,2021-03-23,https://patents.google.com/patent/CN108228779B/en,https://patentimages.storage.googleapis.com/43/56/7d/894863e9598277/HDA0001531300770000011.png
US-2022036164-A1,Neuromorphic memory and inference engine stacked with image sensor to reduce data traffic to host ,"Micron Technology, Inc.","Poorna Kale, Amit Gattani",2020-07-29,2020-07-29,2022-02-03,,https://patents.google.com/patent/US20220036164A1/en,https://patentimages.storage.googleapis.com/2c/15/37/28fc7d2ccce22b/US20220036164A1-20220203-D00000.png
US-2021351989-A1,Self-managed networks and services with artificial intelligence and machine learning ,Verizon Patent And Licensing Inc.,Mehmet Toy,2020-05-06,2020-05-06,2021-11-11,,https://patents.google.com/patent/US20210351989A1/en,https://patentimages.storage.googleapis.com/4f/80/11/94430bac530be9/US20210351989A1-20211111-D00000.png
US-2021233631-A1,Decryption/Display Pathway for User-Device Health Status Display ,Blue Storm Media Inc.,Gareth John Llewelyn,2017-05-17,2021-03-24,2021-07-29,,https://patents.google.com/patent/US20210233631A1/en,https://patentimages.storage.googleapis.com/f9/f8/91/243e0e1fdb72f7/US20210233631A1-20210729-D00000.png
US-2018060795-A1,System And Method For Facilitating Parking Enforcement Officer Performance In Real Time With The Aid Of A Digital Computer ,"Conduent Business Services, Llc","Mark J. Stefik, Mudita Singhal, Kevin Albanese, Farrukh Ali, Eric A. Bier, Daniel G. Bobrow, Eduardo Cardenas Sanchez, Matthew T. Darst, Hoda Eldardiry, Gaurang Gavai, Lu (Kate) Jia, Robert T. Krivacic, Sureyya Tarkan",2016-08-26,2016-08-26,2018-03-01,,https://patents.google.com/patent/US20180060795A1/en,https://patentimages.storage.googleapis.com/7a/1a/1e/508f6a89055180/US20180060795A1-20180301-D00000.png
US-2021056264-A1,Neologism classification techniques ,Oracle International Corporation,"Michael Malak, Luis E. Rivas, Mark Lee Kreider",2019-08-19,2020-08-04,2021-02-25,,https://patents.google.com/patent/US20210056264A1/en,https://patentimages.storage.googleapis.com/8e/dd/53/fd75fd689c7821/US20210056264A1-20210225-D00000.png
US-2022114522-A1,Employee Retention Insight Generation ,"Adp, Llc","Eduardo Cardoso, Alex Ferreira, Leonardo Santos, Jaquelini Rocha",2020-10-14,2020-10-14,2022-04-14,,https://patents.google.com/patent/US20220114522A1/en,https://patentimages.storage.googleapis.com/f5/9c/d1/e5631a49a4acfd/US20220114522A1-20220414-D00000.png
WO-2020041455-A1,Augmented reality for detecting athletic fatigue ,"Nikola Mrvaljevic, Winsnes Carsten Gabriel","Nikola Mrvaljevic, Carsten Gabriel WINSNES",2018-08-24,2019-08-21,2020-02-27,,https://patents.google.com/patent/WO2020041455A1/en,
KR-102052844-B1,Learning Analysis Method and System ,주식회사  아이스크림에듀,"조용상, 이정준, 김호연, 박윤곤, 김석견",2019-01-31,2019-01-31,2019-12-05,2019-12-05,https://patents.google.com/patent/KR102052844B1/en,https://patentimages.storage.googleapis.com/05/d8/69/81d5ba59e31087/112019011793016-pat00001.png
US-10410424-B1,System health awareness using augmented reality ,EMC IP Holding Company LLC,"Muzhar Khokhar, Steve Langley, Ken Kim, Joseph Bet-Eivazi, Ankur Prakash Suratwala",2017-07-31,2017-07-31,2019-09-10,2019-09-10,https://patents.google.com/patent/US10410424B1/en,https://patentimages.storage.googleapis.com/bc/cd/49/0c8472dfcd31b1/US10410424-20190910-D00000.png
US-2019033798-A1,Adaptive control systems for buildings with redundant circuitry ,"Edison Labs, Inc.",Colin Billings,2016-11-02,2018-09-30,2019-01-31,,https://patents.google.com/patent/US20190033798A1/en,https://patentimages.storage.googleapis.com/96/f3/94/1d74f31378a26e/US20190033798A1-20190131-D00001.png
CN-111291173-B,Application method of college student portrait technology based on hybrid neural network ,北京工业大学,"李旭阳, 于磊, 刘子豪, 丁治明",2020-01-17,2020-01-17,2022-02-15,2022-02-15,https://patents.google.com/patent/CN111291173B/en,https://patentimages.storage.googleapis.com/9c/aa/ce/ffda50365079fe/HDA0002370914820000011.png
US-2021104312-A1,System and Method for Labeling a Therapeutic Value to Digital Content Based on Meta-Tags ,AebeZe Labs,Michael Phillips Moskowitz,2017-09-12,2020-11-25,2021-04-08,,https://patents.google.com/patent/US20210104312A1/en,https://patentimages.storage.googleapis.com/1c/68/a1/db56d111a834dd/US20210104312A1-20210408-D00000.png
US-2021091999-A1,Cross domain topology from machine learning ,International Business Machines Corporation,"Yusuf Mirza, Stephen A. Laufer",2019-09-25,2019-09-25,2021-03-25,,https://patents.google.com/patent/US20210091999A1/en,https://patentimages.storage.googleapis.com/56/34/f2/381aa4b6c4531d/US20210091999A1-20210325-D00000.png
KR-20180016032-A,Method for providing adaptive learning contents based on learning analytics ,(주)빅블루,홍기선,2016-08-05,2016-08-05,2018-02-14,,https://patents.google.com/patent/KR20180016032A/en,https://patentimages.storage.googleapis.com/6c/bc/1d/327c05c775fc53/pat00001.png
US-2017091050-A1,System for aggregation and transformation of real-time data ,Bank Of America Corporation,"Assim Syed Mohammad, Badri V. Mangalam, Prasanna Joshi, Sridhar M. Seetharaman",2015-09-30,2015-09-30,2017-03-30,,https://patents.google.com/patent/US20170091050A1/en,https://patentimages.storage.googleapis.com/c4/56/da/226c205e6e0a52/US20170091050A1-20170330-D00000.png
US-10664457-B2,System for real-time data structuring and storage ,Bank Of America Corporation,"Assim Syed Mohammad, Badri V. Mangalam, Prasanna Joshi, Sridhar M. Seetharaman",2015-09-30,2015-09-30,2020-05-26,2020-05-26,https://patents.google.com/patent/US10664457B2/en,https://patentimages.storage.googleapis.com/7c/4f/f9/7da680f93f3143/US10664457-20200526-D00000.png
KR-102064882-B1,"Deep learning platform capable of resource management of graphic processing unit, and method for managing resource of graphic processing unit using the same ",(주)웨이브웨어,김성주,2019-07-12,2019-07-12,2020-01-10,2020-01-10,https://patents.google.com/patent/KR102064882B1/en,https://patentimages.storage.googleapis.com/43/84/93/55b501479d44f7/112019071570992-pat00001.png
EP-3624421-B1,Method for monitoring activities performed by user groups in online digital environments ,Universidad Internacional de La Rioja (UNIR),"Daniel Burgos Solans, Luis De la Fuente Valentín",2018-09-16,2018-09-16,2024-01-10,2024-01-10,https://patents.google.com/patent/EP3624421B1/en,https://patentimages.storage.googleapis.com/84/c9/7a/33343ae56aa681/imgf0001.png
